"","edu2F","labM","LifeExpect","ExpectYrsEd","GNIperCapita","MMRatio","BirthRate","PercRepresinParliament"
"104",2.4,89.7,61.4,5.4,908,630,204.8,13.3
"105",97.4,68.7,81.6,17.5,64992,4,7.8,39.6
"106",47.2,82.6,76.8,13.6,34858,11,10.6,9.6
"107",19.3,82.9,66.2,7.8,4866,170,27.3,19.7
"108",54,81.8,77.6,13.3,18192,85,78.5,19.3
"109",7.6,74,62.6,9.9,2463,220,62.1,2.7
"110",36.8,84.8,72.9,11.9,7643,110,67,16.8
"111",56.3,84.4,74.6,13.1,11015,89,50.7,22.3
"112",65.9,79.7,68.2,11.3,7915,120,46.8,27.1
"113",79.4,64.9,77.4,15.5,23177,3,12.2,22.1
"114",47.7,66.2,80.9,16.3,25757,8,12.6,31.3
"115",66.7,95.5,78.2,13.8,123124,6,9.5,0
"116",86.1,64.9,74.7,14.2,18108,33,31,12
"117",89.6,71.7,70.1,14.7,22352,24,25.7,14.5
"118",8,85.3,64.2,10.3,1458,320,33.6,57.5
"119",64.3,58.4,73.4,12.9,5327,58,28.3,6.1
"120",60.5,78.3,74.3,16.3,52821,16,10.2,19.9
"121",7.2,88,66.5,7.9,2188,320,94.4,42.7
"122",58.4,60.9,74.9,14.4,12190,16,16.9,34
"123",10,69,50.9,8.6,1780,1100,100.7,12.4
"124",74.1,77.2,83,15.4,76628,6,6,25.3
"125",99.1,68.6,76.3,15.1,25845,7,15.9,18.7
"126",95.8,63.2,80.4,16.8,27852,7,0.6,27.7
"127",72.7,60.5,57.4,13.6,12122,140,50.9,40.7
"128",66.8,65.8,82.6,17.3,32045,4,10.6,38
"129",72.7,76.3,74.9,13.7,9779,29,16.9,5.8
"130",12.1,76,63.5,7,3809,360,84,23.8
"131",44.6,68.8,71.1,12.7,15617,130,35.2,11.8
"132",21.9,71.6,49,11.3,5542,310,72,14.7
"133",86.5,67.9,82.2,15.8,45636,4,6.5,43.6
"134",95,74.9,83,15.8,56431,6,1.9,28.5
"135",29.5,72.7,69.6,12.3,2728,49,41.6,12.4
